steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
1316;Plagueworld;July;2019;0,00 Ä;20;20;20;FreeInitiativeGames;FreeInitiativeGames
1317;NoxDei;December;2017;0,00 Ä;20;20;20;BinarySouls;BinarySouls
1318;TheDreamofShadowlandsEpisode1;December;2020;0,00 Ä;20;20;20;CatalinaZavaleta;CatalinaZavaleta
1319;BoundForestAlpha;August;2020;0,00 Ä;50;100;75;TreplaconStudio;TreplaconStudio
1320;SanctumBreach;December;2019;1.599,00 Ä;20;20;20;RerollGaming;RerollGaming
1321;WerewolfVoiceUltimateWerewolfParty;May;2020;0,00 Ä;20;20;20;HealliosStudio;HealliosStudio
1322;ShadowrunChroniclesINFECTEDDirectorsCut;December;2015;2.999,00 Ä;20;20;20;CliffhangerProductions;CliffhangerProductions
1323;Pandumonline;September;2016;0,00 Ä;50;100;75;ElectronicExperience;ElectronicExperience
1324;†;May;2019;0,00 Ä;20;20;20;LIUHE;LIUHE
1325;TheRedPrison;May;2019;0,00 Ä;20;20;20;PatrickWilson;PatrickWilson
1326;;November;2017;0,00 Ä;20;50;35;;GYGames
1327;ExtravaganzaRising;July;2016;326,00 Ä;50;100;75;JohnWizard;JohnWizard
1328;Corrupt;September;2018;0,00 Ä;20;20;20;Opendream;Opendream
1329;BattleSummonersVR;May;2017;999,00 Ä;20;20;20;VoleRCreative;VoleRCreative
1330;DrumpfRiseUpLibertonia;January;2018;0,00 Ä;20;20;20;DP3Softworks;DP3Softworks
1331;RunewardsStrategyCardGame;February;2018;0,00 Ä;20;50;35;ReaverGames;TeamDYO
1332;Å†;January;2020;0,00 Ä;20;50;35;;
1333;Steel&SteamEpisode1;July;2014;999,00 Ä;50;100;75;RedMeatGames;DigeratiDistribution
1334;DeathPenaltyBeginning;January;2017;424,00 Ä;20;20;20;VIGAMESLLCIvanBuderkrvych;VIGAMESLLC
1335;;November;2019;0,00 Ä;20;20;20;SatoFumiya;SatoFumiya
1336;UldreVoid;May;2020;0,00 Ä;20;20;20;ByronDunwoody;ByronDunwoody
1337;SpireofSorceryCharacterGenerator;October;2018;0,00 Ä;20;20;20;AlexeyBokulevSergeiKlimovCharlieOscarLimaTangoInteractiveEntertainment;TheMerchantGuildofRundLimited
1338;DuncanandtheWisp;June;2019;0,00 Ä;20;20;20;JeremiahHughesRoyBennettJeremyHadleyJosephineDolanJosephCavazosMollicaEs;JeremiahHughesRoyBennettJeremyHadleyJosephineDolanJosephCavazos
1339;HeartofEnya;March;2021;0,00 Ä;20;50;35;TeamBapy;TeamBapy
1340;†ùè;September;2020;0,00 Ä;50;100;75;9xgamexStudiosnet;9xgame
1341;ChroniclesofaDarkLordEpisodeIIWarofTheAbyss;January;2015;999,00 Ä;20;20;20;KisarethStudios;KisarethStudios
1342;7Bonesand7StonesTheRitual;October;2020;0,00 Ä;20;50;35;RunAroundGames;RunAroundGames
1343;DarkEdenOrigin;August;2017;0,00 Ä;20;50;35;SOFTONENTERTAINMENT;SOFTONENTERTAINMENT
1344;WeaponsofMythologyNewAge;December;2016;0,00 Ä;20;50;35;Gamemag;IDC/Games
1345;THESKIESREBORN;November;2020;0,00 Ä;50;100;75;SkiesTechnologies;SkiesTechnologies
1346;ClashofIrons;March;2021;0,00 Ä;20;50;35;HQGames;HQGames
1347;IncrementalEpicBreakers;March;2021;0,00 Ä;20;20;20;Hapiwaku;IdleSystemInc
1348;;May;2019;0,00 Ä;20;50;35;;
1349;Axion;December;2015;199,00 Ä;20;20;20;Droog71;Droog71
1350;TotheEdgeoftheSky;February;2020;0,00 Ä;20;50;35;AjanJKClestin;AeonDreamStudios
1351;BloodlinesofPrima;March;2020;0,00 Ä;20;20;20;Amazastrophic;Amazastrophic
1352;Soulscape;July;2019;0,00 Ä;20;20;20;Samu;Samu
1353;ELSWORD;March;2019;0,00 Ä;20;20;20;KOG;KOG
1354;SuperDungeonMasterAceRPG;October;2017;0,00 Ä;50;100;75;DaveGumble;DaveGumble
1355;Armadusa;May;2019;0,00 Ä;20;20;20;WVVGames;WVVGames
1356;LostExistence;January;2021;0,00 Ä;20;20;20;LuridSpectreGames;LuridSpectreGames
1357;Patricia;September;2020;0,00 Ä;20;50;35;KangarooUnderlord;KangarooUnderlord
1358;Ishmael;April;2017;0,00 Ä;20;20;20;JordanMagnuson;JordanMagnuson
1359;DragonGlory;October;2017;0,00 Ä;20;50;35;TeamTopGames;101XP
1360;MavisJourney;February;2018;0,00 Ä;20;50;35;aburasobabiyori;DLsite
1361;HotelTutwin;April;2019;0,00 Ä;20;20;20;RoxianoCreations;RoxianoCreations
1362;RETNE;August;2017;0,00 Ä;20;20;20;VRNILtdKainos;VRNILtdKainos
1363;Tactics&StrategyMaster3GeminiStrategy;December;2019;599,00 Ä;20;20;20;GeminiStarsGames;GeminiStarsGames
1364;MeltingHeartsOurLoveWillGrow2;April;2016;499,00 Ä;20;50;35;JohnWizard;JohnWizard
1365;SteamBanditsOutpost;January;2014;1.499,00 Ä;20;20;20;IocaineStudios;IocaineStudios
1366;TheDevilsWomb;September;2019;0,00 Ä;20;20;20;YumerotheTaleteller;YumerotheTaleteller
1367;MrsSantasGiftHunt;November;2020;0,00 Ä;20;20;20;TuomoLaine;Tuomo'sgames
1368;StreamArenas;September;2020;0,00 Ä;20;20;20;Sic'emStudios;Sic'emStudios
1369;TEMPERMYBLADE;June;2020;0,00 Ä;20;20;20;DOVEINSKY;DOVEINSKY
1370;HeroesMustDie;July;2016;0,00 Ä;20;20;20;HeroicGames;HeroicGames
1371;ReversiQuest2;January;2020;1.999,00 Ä;20;20;20;Yokogosystems;Yokogosystems
1372;MirageOnlineClassic;December;2019;0,00 Ä;20;50;35;RetrelonGamesLLC;RetrelonGamesLLC
1373;PretaVendettaRising;July;2017;3.499,00 Ä;20;20;20;IllionCorp;YJMGAMES
1374;DreamLand;July;2016;0,00 Ä;20;20;20;SandVUE;SANPACE
1375;DawnsLight;September;2016;299,00 Ä;20;20;20;JohnWizard;JohnWizard
1376;DefendersofTetsoideaAcademy;November;2017;0,00 Ä;20;20;20;BrewsterlandStudios;BrewsterlandStudios
1377;BlackDesertOnlineTravelersPackage;March;2016;2.999,00 Ä;20;20;20;PearlAbyss;KakaoGamesEuropeBV
1378;TheLost;August;2016;599,00 Ä;20;50;35;Duang;juezhu
1379;;June;2018;0,00 Ä;20;50;35;lovelin;lovelin
1380;TheSunWillRise;October;2016;0,00 Ä;20;50;35;TheSunWillRiseTeam;TheSunWillRiseTeam
1381;AscensionTransitionandSilver;February;2021;0,00 Ä;20;20;20;SulMatul;SulMatul
1382;CKane;January;2016;0,00 Ä;100;200;150;SuperWalrusGames;SuperWalrusGames
1383;SolenarsEdgeRebirth;August;2017;0,00 Ä;20;50;35;TeamSyukino;TeamSyukino
1384;LillyandSashaNexusofSouls;May;2015;899,00 Ä;20;50;35;JohnWizard;JohnWizard
1385;YouDoesntExist;April;2017;0,00 Ä;20;50;35;Yo252yo;Yo252yo
1386;DeadtimeDefenders;February;2020;1.499,00 Ä;20;20;20;RavenousGamesInc;RavenousGamesInc
1387;AWizardsLizardSoulThief;April;2016;999,00 Ä;20;20;20;LostDecadeGames;LostDecadeGames
1388;LillyandSashaGuardianAngels;July;2015;261,00 Ä;50;100;75;JohnWizard;JohnWizard
1389;HeroesofArzar;August;2018;0,00 Ä;20;50;35;USERJOYTechnologyCoLtd;USERJOYTechnologyCoLtd
1390;†H5;December;2020;0,00 Ä;20;50;35;ùùÅ;ùùÅ
1391;ClarentSagaTactics;September;2017;0,00 Ä;20;20;20;DavidNguyen;DavidNguyen
1392;WindsRhapsody;August;2020;0,00 Ä;50;100;75;Ocean'sDream;Komodo
1393;ProjectAmaltheaBattlegrounds;October;2020;0,00 Ä;50;100;75;RunServer;RunServer
1394;16BitArena;March;2015;0,00 Ä;50;100;75;16bitarenacom;16bitarenacom
1395;Blade;December;2018;1.899,00 Ä;20;20;20;ECoolGame;
1396;DawnoftheBreakers;November;2018;0,00 Ä;20;50;35;CyberStepInc;CyberStepInc
1397;ThePerfectionist;March;2016;0,00 Ä;20;50;35;GreenMoonGames;RPGMakerMV
1398;EllenandtheDegeneratesRPG;February;2019;0,00 Ä;20;50;35;JohnShieldsHumdingerGames;HumdingerGames
1399;ShowdownAdventure;September;2016;299,00 Ä;20;50;35;HerbiGames;HerbiGames
1400;NatariattheBubblePlanet;December;2017;0,00 Ä;20;20;20;CaliburnStudio;CaliburnStudio
1401;TapCatsEpicCardBattle;December;2018;0,00 Ä;20;50;35;ClassyYakGameStudio;Screenzilla
1402;ShadowHunter;April;2015;0,00 Ä;20;50;35;JeffTrier;JeffTrier
1403;IsekaiEternal;July;2021;0,00 Ä;20;20;20;SubdreamStudios;SubdreamStudios
1404;LightInTheDark;November;2017;0,00 Ä;20;50;35;Kisuarts;Kisuarts
1405;LegendofGBCTycoonGBC†;March;2019;399,00 Ä;20;20;20;ê;0Cube
1406;RocketboatPilot;April;2018;0,00 Ä;20;50;35;PresentDayMediaLLC;PresentDayMediaLLC
1407;CLOSED;September;2019;999,00 Ä;20;20;20;Kazuyatensun3d;Å
1408;Wienne;January;2020;0,00 Ä;20;20;20;Creeepling;Creeepling
1409;TeleporterWorldofGamersAlpha;October;2020;0,00 Ä;20;20;20;TeleporterRealitiesInc;TeleporterRealitiesInc
1410;HeroesofArca;February;2017;0,00 Ä;20;20;20;IMPIRESOFT;IMPIRESOFT
1411;LovelyWeatherWereHaving;November;2015;799,00 Ä;20;20;20;JulianGlander;Glanderco
1412;ClickerWarriors;October;2019;0,00 Ä;20;50;35;OpenWorldInteractive;OpenWorldInteractive
1413;TeenageBlobPaperpersonTheFirstSingle;September;2020;0,00 Ä;20;20;20;TeamLazerbeamTheSuperweaks;TeamLazerbeamSuperhotPresents
1414;;April;2021;0,00 Ä;20;50;35;;
1415;OrphanofthePetal;February;2019;0,00 Ä;20;50;35;ScorchingCastleLinno;0Cube
1416;DragonSouls;October;2020;0,00 Ä;20;50;35;AvantGames;AvantGames
1417;AVARIAvs;May;2019;1.999,00 Ä;20;20;20;JunctureMedia;JunctureMedia
1418;Wildbus;August;2019;999,00 Ä;20;20;20;WildbusStudio;WildbusStudio
1419;PendulaSwingEpisode1TiredandRetired;August;2018;0,00 Ä;20;20;20;ValiantGameStudioAB;ValiantGameStudioAB
1420;Nodiatis;May;2008;0,00 Ä;20;20;20;GlitchlessLLC;GlitchlessLLC
1421;Might&Mayhem;June;2017;0,00 Ä;20;50;35;KizStudios;You42Inc
1422;Gunspell2Match3PuzzleRPG;December;2019;0,00 Ä;50;100;75;InoCoPlus;AKPublish
1423;LastDaysMotel;February;2019;0,00 Ä;20;50;35;;
1424;BUCKSaturdayMorningCartoonApocalypse;March;2017;1.499,00 Ä;20;20;20;WaveInteractive;WaveInteractive
1425;PlentySkyhearth;October;2016;0,00 Ä;20;50;35;TinyLions;TinyLionsInc
1426;HeroesofFortunia;April;2019;0,00 Ä;20;50;35;PolskaLemonLtd;PolskaLemonLtd
1427;Countrified;May;2021;0,00 Ä;20;50;35;AvelarStudios;AvelarStudios
1428;KterGame;January;2004;0,00 Ä;20;20;20;Dzsembori;Dzsembori
1429;Wartune;July;2016;0,00 Ä;20;50;35;7Road;ProficientCity
1430;HectorEpisode2;July;1989;1.499,00 Ä;20;20;20;Telltale;Telltale
1431;WhitePearl;December;2017;0,00 Ä;20;50;35;HarryGill;HarryGill
1432;MathoriaItAllAddsUp;December;2014;0,00 Ä;20;20;20;SenshiLabs;SenshiLabs
1433;Azure;May;2020;0,00 Ä;20;20;20;HongkeLuo;HongkeLuo
1434;DavyriaHeroesofEternity;March;2017;0,00 Ä;20;20;20;SebastianGroll;SebastianGroll
1435;KindaHeroesThecutestRPGever;December;2020;0,00 Ä;20;20;20;HippoGames;HippoGames
1436;Spellgear;April;2017;0,00 Ä;20;20;20;SkyRiverStudios;SkyRiverStudios
1437;DeFobosyDeimos;July;2018;0,00 Ä;20;20;20;AlexredmiauJolabidecom;AlexredmiauJokabidecom
1438;GripperPrologue;August;2020;0,00 Ä;50;100;75;HeartCore;HeartCore
1439;KAKUAncientSealAlpha;November;2020;0,00 Ä;20;20;20;BINGOBELL;BINGOBELL
1440;UndungeonArena;October;2020;0,00 Ä;20;50;35;LaughingMachines;tinyBuild
1441;DragonFangDrahnsMysteryDungeon;February;2020;0,00 Ä;50;100;75;ToydeaDegica;Degica
1442;DragonBlood;January;2017;0,00 Ä;50;100;75;TeamTopGames;101XP
1443;Magnesia;January;2019;0,00 Ä;20;20;20;TorukoGames;TorukoGames
1444;LegendofTowercraft;June;2020;0,00 Ä;20;50;35;MartinBartschStephanieSenjutyBartsch;MartinBartsch
1445;CastleTorgeathDescentintoDarkness;January;2016;499,00 Ä;20;20;20;DungeoneeringStudios;DungeoneeringStudios
1446;EudemonsOnline;October;2020;0,00 Ä;20;50;35;NetDragon;NetDragon
1447;Veritex;March;2018;0,00 Ä;20;20;20;VeritexStudiosLLC;VeritexStudiosLLC
1448;UnsungKingdom;July;2020;0,00 Ä;50;100;75;Laineus;Laineus
1449;AndromedaRebirthofHumanity;October;2020;0,00 Ä;20;50;35;NullReferenceGames;NullReferenceGames
1450;PiratesofEverseas;August;2019;0,00 Ä;20;20;20;Moonmana;Moonmana
1451;TheOniSellsword;August;2018;0,00 Ä;20;20;20;EricBaskin;EricBaskin
1452;èFullSwingHero;May;2019;0,00 Ä;20;50;35;KatsumiSuenamikamiena;KatsumiSuenamikamiena
1453;Castlehold;March;2021;0,00 Ä;20;20;20;5THCell;5THCell
1454;WorldQuest;April;2018;0,00 Ä;20;50;35;WilliamXuAlexRaita;WilliamXuAlexRaita
1455;YandereEscape;February;2020;0,00 Ä;20;50;35;LetmeDwight;LetmeDwight
1456;RiseofthePirates;January;2019;0,00 Ä;20;20;20;Ravanok;Ravanok
1457;PrimeArena;October;2017;999,00 Ä;20;20;20;Nival;Nival
1458;Angels&DemigodsSciFiVRVisualNovel;September;2016;0,00 Ä;20;50;35;7KeysStudios;7KeysStudios
1459;Å;September;2019;0,00 Ä;20;50;35;ShanghaiXunXIn;ShanghaiXunXIn
1460;WildDoseFirstSession;March;2021;0,00 Ä;100;200;150;LappiSoft;LappiSoft
1461;MonsterxManInheritenceToLust;April;2018;0,00 Ä;20;50;35;Hexadecimalstudios;Hexadecimalstudios
1462;AetheriaOnline;February;2019;0,00 Ä;20;20;20;ZacharyHodges;ZacharyHodges
1463;C21;March;2006;0,00 Ä;100;200;150;CyberStepInc;CyberStepInc
1464;SystemGooseOverload;August;2017;0,00 Ä;20;20;20;JosephCalabro;JosephCalabro
1465;Laplaceê;October;2018;0,00 Ä;20;20;20;XLegendEntertainmentCoLtd;XLegendEntertainmentCoLtd
1466;StormRiders;April;2017;0,00 Ä;50;100;75;MokylinTechCoLtd;101XP
1467;DemonpactClarice;June;2020;0,00 Ä;20;50;35;GoiabaMegasXellox;GoiabaMegasXellox
1468;Underlight;March;1998;0,00 Ä;100;200;150;KoiWareLLC;KoiWareLLC
1469;NewAge;August;2019;0,00 Ä;50;100;75;Gtype;Gtype
1470;†êANDOUPulseofcup;October;2020;0,00 Ä;20;50;35;;
1471;MinerLou;May;2019;0,00 Ä;20;50;35;FuzzyCodeStudioLLC;FuzzyCodeStudioLLC
1472;ChroniclesofaDarkLordEpisode1TidesofFateComplete;December;2014;113,00 Ä;50;100;75;KisarethStudios;KisarethStudios
1473;RecordofLodossWarOnline;January;2019;0,00 Ä;20;50;35;LÔKCOLTD;LÔKCOLTD
1474;KingdomOfRhea;September;2019;0,00 Ä;20;50;35;Rheagency;Rheagency
1475;MyDream;February;2015;0,00 Ä;20;50;35;MyDreamInteractiveInc;MyDreamInteractiveInc
1476;AbyssTheForgottenPastPrologue;December;2020;0,00 Ä;20;50;35;OWGStudios;SedocLLC
1477;WindsofChangeTheOpeningAct;May;2019;0,00 Ä;20;20;20;TallTailStudios;TallTailStudios
1478;BornofFire;September;2019;0,00 Ä;20;50;35;LeafBoatStudio;LeafBoatStudio
1479;BadlandBandits;July;2015;0,00 Ä;20;50;35;WildWolfStd;WildWolfStd
1480;Wyvern;March;2021;0,00 Ä;20;50;35;GhostTrackInc;GhostTrackInc
1481;GlobalAdventures;December;2017;0,00 Ä;20;50;35;PixelSoft;SubaGames
1482;EternalDreamers;July;2021;0,00 Ä;100;200;150;StudioBiest;StudioBiest
1483;TeamFourStarRPG;November;2017;0,00 Ä;20;50;35;ShadowBladeProductions;ShadowBladeProductions
1484;AKERFERN;May;2020;0,00 Ä;20;50;35;ChaosGroupGames;ChaosGroupGames
1485;SoundscapeVR;April;2017;0,00 Ä;20;50;35;GrooveScienceStudios;GrooveScienceStudios
1486;ProjectSpeed;May;2020;0,00 Ä;20;20;20;SmartlyGopheredGames;SmartlyGopheredGames
1487;IdleDungeons;June;2019;0,00 Ä;50;100;75;ChimpLabs;ChimpLabs
1488;XecrystRemains;February;2019;0,00 Ä;20;50;35;KrysleQuinsen;KrysleQuinsen
1489;ClashMutantsVsPirates;June;2020;0,00 Ä;100;200;150;NewGen;NewGen
1490;RoadDogs;September;2017;0,00 Ä;50;100;75;TeletowerStudios;TeletowerStudios
1491;TempleofRust;September;2018;0,00 Ä;20;50;35;JamesMearman;wwwdevzoonet
1492;ç;December;2018;0,00 Ä;20;50;35;ZCHçê;0Cube
1493;ARISENPrologue;July;2020;0,00 Ä;20;50;35;Maratus;Maratus
1494;YoreVR;October;2016;0,00 Ä;20;50;35;TectonicVR;TectonicVR
1495;;December;2020;0,00 Ä;20;20;20;daihuak;daihuakRMAsia
1496;FlowersinDark;January;2019;0,00 Ä;20;50;35;ù/DAWNWINGSHOP;0Cube
1497;DungeonRoyale;December;2021;0,00 Ä;20;20;20;YakiCL;YakiCL
1498;beyou2;July;2020;0,00 Ä;20;20;20;louismorel;louismorel
1499;ValleyofDecay;June;2019;0,00 Ä;20;50;35;MarioPapadopoulos;MarioPapadopoulos
1500;IdleExpanse;September;2020;0,00 Ä;50;100;75;LyricalGamesLLC;LyricalGamesLLC
1501;ProjectFire;October;2016;0,00 Ä;20;50;35;DistantAlliance;DistantAlliance
1502;Find&DestroyTankStrategy;June;2018;0,00 Ä;20;50;35;mPowerGamesStudio;mPowerGamesStudio
1503;TowerKeepers;November;2018;0,00 Ä;20;50;35;NinjaKiwi;NinjaKiwi
1504;TacticalThreeKingdoms3KingdomsStrategy&War;October;2020;0,00 Ä;20;20;20;CamexGames;CamexGames
1505;Aimi;October;2020;0,00 Ä;20;20;20;Toasty;Toasty
1506;OLÍEmbracetheThreeKingdomsOL;May;2019;0,00 Ä;20;50;35;VALOFE;VALOFE
1507;RagnarokRESTART;July;2017;0,00 Ä;20;50;35;GravityInteractive;GravityInteractive
1508;ErinyeDemo;March;2018;0,00 Ä;20;50;35;KarosuMaker;KarosuMaker
1509;PeaceRestored;August;2019;0,00 Ä;20;20;20;MarkLuttrell;MarkLuttrell
1510;PathsTaken;June;2019;0,00 Ä;20;20;20;CrystalGameWorks;CrystalGameWorks
1511;èAncientWarThreeKingdoms;February;2019;0,00 Ä;50;100;75;AncientWarStudios;AncientWarStudios
1512;ValorTime;November;2018;0,00 Ä;20;50;35;ObjectOnIT;ObjectOnIT
1513;EmmerholtPrologue;February;2017;0,00 Ä;20;50;35;OneiricEntertainmentLLC;OneiricEntertainmentLLC
1514;SecondhandLands;April;2007;0,00 Ä;20;20;20;CallipygianGamesLLC;CallipygianGamesLLC
1515;pemsa;April;2022;0,00 Ä;20;50;35;RexcellentGames;RexcellentGames
1516;MistressofMaidsFirstCastle;April;2019;0,00 Ä;20;50;35;YDKRSemenovIuriiAleksandrGolovkin;YDKR
1517;BangHowdy;July;2017;0,00 Ä;20;50;35;AfflictionNetworks;AfflictionNetworks
1518;ChinesePaladinSwordandFairy5;September;2017;599,00 Ä;20;20;20;SoftstarTechnologyBeijingCoLtd;BeijingNewEraNetworkTechnologyCoLtd
1519;DontForgetOurEsportsDream;November;2018;0,00 Ä;20;20;20;TeamEleven;TeamEleven
1520;TlicolityEyes;June;2021;0,00 Ä;50;100;75;IDEAFACTORYFrontierWorksJoyMoeInteractiveEntertainmentLimited;JoyMoeInteractiveEntertainmentLimited
1521;StarfallOnline;February;2020;0,00 Ä;20;50;35;SnowforgedEntertainment;SnowforgedEntertainment
1522;Lif;January;2016;899,00 Ä;20;20;20;ImigeaLtd;Gamevial
1523;†ÍùACompendiumofGhosts;June;2018;0,00 Ä;20;20;20;Team33;Team33
1524;LegendsofAethereus;September;2013;1.276,00 Ä;50;100;75;ThreeGates;ThreeGates
1525;Lucie;March;2018;199,00 Ä;20;20;20;vmcabello;vmcabello
1526;AuraKingdom2;April;2020;0,00 Ä;20;50;35;XLegendEntertainmentCoLtd;XLegendEntertainmentCoLtd
1527;JustOneLine;September;2018;0,00 Ä;20;20;20;JOLStudios;JOLStudios
1528;AzusaRPOnline;January;2019;0,00 Ä;20;20;20;Inutaishos;Inutaishos
1529;ElementsIIHeartsofLight;April;2016;499,00 Ä;100;200;150;SoulCatapult;NewRealityGames
1530;JaggedAllianceOnlineReloaded;September;2015;999,00 Ä;20;50;35;CliffhangerProductions;CliffhangerProductions
1531;AuroraTrail;December;2017;0,00 Ä;50;100;75;ScreenhitStudios;ScreenhitStudios
1532;DowntownMafiaGangWars;July;2018;0,00 Ä;50;100;75;DYNAMICNEXT;DYNAMICNEXT
1533;AnimalRescuerPrologue;October;2020;0,00 Ä;20;20;20;TurquoiseRevivalGames;TurquoiseRevivalGames
1534;ScionsofFate;January;2018;0,00 Ä;20;50;35;MGAMECorporation;NETGAMEInc
1535;DarkzoneIdleRPG;November;2021;0,00 Ä;50;100;75;Capitanos;Capitanos
1536;HordeCoreTrainingGround;October;2020;0,00 Ä;20;20;20;DigitalityStudios;METAPublishing
1537;bitDungeon;March;2016;699,00 Ä;20;50;35;DoloresEntertainment;DoloresEntertainment
1538;FamilyManPrologue;May;2020;0,00 Ä;20;20;20;BrokenBearGames;NoMoreRobots
1539;LockheartIndigo;July;2020;0,00 Ä;20;50;35;HarmlessGames;HarmlessGames
1540;BlacksmithLegendsPrologue;July;2021;0,00 Ä;20;20;20;VMGamingltd;RockGameSA
1541;AIEscort;April;2018;199,00 Ä;20;20;20;MagicHouse;ParadiseProject
1542;DF41Simulator;July;2020;0,00 Ä;20;20;20;BoChen;BoChen
1543;NewDawn;September;2018;1.899,00 Ä;20;20;20;evisualsoft;evisualsoft
1544;DestinyofAncientKingdoms;August;2016;0,00 Ä;50;100;75;UtopiaDreamEntertainmentAlliancePtyLtdSouthAfrica;UtopiaDreamEntertainmentAlliancePtyLtdSouthAfrica
1545;IdleHeist;June;2018;0,00 Ä;50;100;75;ChimpLabs;ChimpLabs
1546;SidClassic;February;2021;0,00 Ä;20;50;35;Singtainc;Singtainc
1547;SpaceCatsTacticsPrologue;January;2021;0,00 Ä;50;100;75;MitziGames;MitziGames
1548;Loneliness;April;2010;0,00 Ä;20;50;35;JordanMagnuson;JordanMagnuson
1549;BLOCKMultiplayerRPG;March;2020;499,00 Ä;20;50;35;CyberMotionGames;CyberMotionGames
1550;DinosaursAPrehistoricAdventure;December;2017;0,00 Ä;20;50;35;ArcupionArt;ArcupionArt
1551;YourQuest;April;2015;0,00 Ä;50;100;75;OblivionburnProductions;OblivionburnProductions
1552;GreedKnights;October;2020;0,00 Ä;20;50;35;RenanMigueloteVianna;RenanMigueloteVianna
1553;ChinesePaladinSwordandFairy5Prequel;September;2017;629,00 Ä;20;50;35;SoftstarTechnologyBeijingCoLtd;BeijingNewEraNetworkTechnologyCoLtd
1554;OriginOfDestinyCrimsonAwakening;April;2016;0,00 Ä;50;100;75;CloudTheWolfGames;CloudTheWolfGames
1555;HeroesofHavocIdleAdventures;December;2016;0,00 Ä;50;100;75;KizStudios;KizStudios
1556;KnightsandDungeons;July;2020;0,00 Ä;50;100;75;RenanMigueloteVianna;RenanMigueloteVianna
1557;ù†;July;2019;0,00 Ä;50;100;75;è;è
1558;KakeleOnlineMMORPG;February;2020;0,00 Ä;20;20;20;ViVaGames;ViVaGames
1559;WarofTanksBlitzkrieg;August;2019;0,00 Ä;50;100;75;HQGamesHQGames;HQGames
1560;LunarLuxChapter1;March;2020;0,00 Ä;20;20;20;NobabMoinuddin;CosmicNobabGames
1561;CrashForce;July;2017;0,00 Ä;20;20;20;AscanioEntertainment;AscanioEntertainment
1562;BountyBelow;October;2021;0,00 Ä;50;100;75;WilliamCheek;WilliamCheek
1563;IllyriadGrandStrategyMMO;May;2011;0,00 Ä;20;20;20;IllyriadGames;IllyriadGames
1564;AstoniaReborn;August;2018;0,00 Ä;20;50;35;AstoniaReborn;AstoniaReborn
1565;WartuneReborn;February;2021;0,00 Ä;50;100;75;7Road;7Road
1566;WizrogueLabyrinthofWizardry;February;2017;1.199,00 Ä;20;20;20;Taito;ForeverEntertainmentSA
1567;ElementsSoulofFire;January;2015;799,00 Ä;50;100;75;SoulCatapult;NewRealityGames
1568;AliceinStardomAFreeIdolVisualNovel;April;2019;0,00 Ä;20;20;20;CrystalGameWorks;CrystalGameWorks
1569;ElementalHeroes;March;2016;0,00 Ä;50;100;75;mPowerGamesStudio;mPowerGamesStudio
1570;BlackDesertOnlineExplorersPackage;March;2016;40,00 Ä;20;20;20;PearlAbyss;KakaoGamesEuropeBV
1571;FantasyaFinalDefinitivaREMAKE;January;2018;0,00 Ä;50;100;75;CleanWaterSoft;CleanWaterSoft
1572;AstoniaTheReturnofYendor;February;2020;0,00 Ä;20;50;35;ATroY;ATroY
1573;AldersBloodPrologue;February;2020;0,00 Ä;50;100;75;ShockworkGames;NoGravityGames
1574;RebirthFantasy;June;2020;0,00 Ä;20;50;35;RetroCraftzStudio;RetroCraftzStudio
1575;IslandofDeception;March;2020;999,00 Ä;20;20;20;StormStudio;YoorekaStudio
1576;CartoonNetworkJourneysVR;October;2019;0,00 Ä;20;20;20;PaperCraneGamesTwinSkyGamesCartoonNetworkStudios;CartoonNetworkGames
1577;WorldWarfare;April;2018;0,00 Ä;50;100;75;JoyCrafter;WisJoy
1578;Milkcraft;January;2021;0,00 Ä;20;50;35;MilkcraftStudio;MilkcraftStudio
1579;CryptTheBlackTower;March;2018;0,00 Ä;20;50;35;EndlessVoidStudios;EndlessVoidStudios
1580;KeyToHeaven;April;2021;0,00 Ä;20;50;35;FarsideofNorthStudio;FarsideofNorthStudio
1581;VagrusTheRivenRealmsPrologue;July;2020;0,00 Ä;20;20;20;LostPilgrimsStudio;LostPilgrimsStudio
1582;Aztaka;May;2009;999,00 Ä;50;100;75;CiteremisInc;CiteremisInc
1583;Dissolution;August;2019;0,00 Ä;50;100;75;GarageStudios;GarageStudios
1584;TowardsThePantheonEscapingEternity;October;2017;0,00 Ä;20;50;35;ConnorORTLinning;ConnorORTLinning
1585;NyancoProject;August;2019;0,00 Ä;20;50;35;NyancoChannel;NyancoChannel
1586;EsportsLifeEp1DreamsofGlory;November;2017;1.999,00 Ä;20;20;20;UPlayOnline;UPlayOnline
1587;DragonSpiritsPrologue;August;2020;0,00 Ä;20;50;35;FHNBHJ;indienova
1588;;March;2019;0,00 Ä;20;20;20;;ê
1589;ByMoonlight;February;2019;0,00 Ä;20;50;35;SugarHyped;SugarHyped
1590;WolfsGang;August;2020;0,00 Ä;20;50;35;Caz;Komodo
1591;KhanAbsolutePower;March;2016;0,00 Ä;50;100;75;Mirinae;KhanaticNetworkGaming
1592;AllOurAsias;February;2018;0,00 Ä;100;200;150;MelosHanTani;AnalgesicProductions
1593;HorrorVale;July;2019;0,00 Ä;20;20;20;BatWorksSoftware;BatWorksSoftware
