steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
9728;SkautfoldUsurper;February;2018;999,00 Ä;50;100;75;SteveGal;Pugware
9729;ForsakenIsle;February;2015;799,00 Ä;20;50;35;Smoodlez;Smoodlez
9730;ÅPastryLovers;July;2017;499,00 Ä;20;50;35;;
9731;ChroniclesofTeddy;April;2015;1.499,00 Ä;20;50;35;Storybird;LookAtMyGamePlugInDigital
9732;MonsterHarvest;August;2021;1.699,00 Ä;20;50;35;MaplePoweredGames;MergeGames
9733;RoyalAlchemist;April;2020;1.999,00 Ä;20;20;20;NiftyVisuals;NiftyProductions
9734;TheUseofLife;May;2022;1.799,00 Ä;20;20;20;Å†ÅÅÅÅ/DaranekoGames;PLAYISM
9735;PlanetAlcatraz2;September;2008;499,00 Ä;20;50;35;FulqrumPublishing;FulqrumPublishing
9736;SheraandtheThreeTreasures;December;2019;1.049,00 Ä;20;50;35;AsgarKnights;KaguraGames
9737;ZombieGrinder;October;2015;899,00 Ä;20;50;35;TwinDrills;TwinDrills
9738;VoidspireTactics;November;2015;1.499,00 Ä;20;50;35;RadCodex;RadCodex
9739;MedievalFantasySurvivalSimulator;February;2022;199,00 Ä;20;20;20;RandumbStudios;RandumbStudios
9740;SectorSix;September;2018;9,00 Ä;50;100;75;SmallMoons;SmallMoons
9741;KOEWOTAYORINISPSP;February;2018;199,00 Ä;20;20;20;ÅÅÅù;Pujia8StudioGameraGame
9742;RaiOhGarAsukaandtheKingofSteel;May;2020;1.049,00 Ä;20;50;35;GapTax;KaguraGames
9743;MetroSimHustle;July;2021;1.999,00 Ä;20;20;20;DepartureInteractive;DepartureInteractive
9744;MONKEYKINGHEROISBACK;October;2019;3.499,00 Ä;20;20;20;HEXADRIVEIncD4EnterpriseCoLtd;OasisGames
9745;FromFrontier;July;2020;1.599,00 Ä;20;50;35;DoublesCore;OTAKUPlan
9746;TheValeShadowoftheCrown;August;2021;1.999,00 Ä;20;20;20;FallingSquirrelCreativeBytesStudios;FallingSquirrelInc
9747;SurviveorThrive;September;2020;199,00 Ä;20;20;20;RandumbStudios;RandumbStudios
9748;HealersQuest;April;2018;1.499,00 Ä;20;50;35;RabloGames;RabloGames
